Country,Life Expectancy,GDP
Afghanistan,58.193750000000000,340.01542546875000
Albania,75.15625000000000,2119.7266788750000
Algeria,73.61875000000000,2847.8533923125
Angola,49.01875,1975.1430451187500
Antigua and Barbuda,75.05625000000000,9759.305728125000
Argentina,75.15625000000000,6998.575103125
Armenia,73.40000000000000,1999.9863176500000
Australia,81.81250000000000,34637.565046875000
Austria,81.48125000000000,33827.47630875
Azerbaijan,70.73125000000000,3302.9478069937500
Bahrain,75.72500000000000,11191.247420625000
Bangladesh,69.3,443.5614810250000
Barbados,74.35625,12017.098529375
Belarus,69.90625,3811.5253480000000
Belgium,80.68125000000000,16915.306000000000
Belize,69.26875,3933.0121745000000
Benin,57.568750000000000,561.167968
Bhutan,66.1625,1353.98694560625
Bosnia and Herzegovina,75.96875000000000,2245.0260235625000
Botswana,56.05,4498.285431187500
Brazil,73.38125,6143.161793500000
Brunei Darussalam,76.48750000000000,19744.808101875000
Bulgaria,72.85,4938.981821375000
Burkina Faso,55.64375000000000,410.3720343125
Burundi,55.537500000000000,137.81532131875
Cabo Verde,72.51875,2023.54103925
Cambodia,64.34375,466.19687805000000
Cameroon,54.01875,781.0160044125000
Canada,81.6875,29382.907523125000
Central African Republic,48.51250000000000,363.05590485000000
Chad,50.3875,484.7916940562500
Chile,79.45000000000000,6202.344363562500
China,74.2625,2345.3031576875
Colombia,73.28750000000000,3321.6607483125000
Comoros,61.581250000000000,630.38433406875
Costa Rica,78.59375000000000,3957.22728625
Croatia,76.11875,9056.7847190625
Cuba,77.97500000000000,3180.4348844375
Cyprus,79.675,13898.88550125
Denmark,79.25625000000000,33067.407915625
Djibouti,60.75625,897.9998706500000
Dominican Republic,72.34375000000000,3509.4991863125
Ecuador,74.72500000000000,2005.3524679375
El Salvador,71.74375,2517.8346304375
Equatorial Guinea,55.3125,7902.4107885625
Eritrea,59.525,259.3953562916670
Estonia,74.94375,8340.4329494375
Ethiopia,59.11250000000000,264.97094995000000
Fiji,68.7125,2947.6126888750000
Finland,80.7125,25268.649758125
France,82.21875,26465.551380625
Gabon,62.243750000000000,5179.2561886250000
Georgia,73.50625,2158.2808692812500
Germany,81.175,24337.749100000000
Ghana,60.8625,834.3761008125000
Greece,81.21875,16454.23587
Grenada,73.29375,6259.5172613125
Guatemala,71.73125,2365.83447375
Guinea,56.0125,279.46479789375
Guinea-Bissau,55.36875,384.2149305312500
Guyana,65.6375,1783.8809370625000
Haiti,59.868750000000000,434.36012815000000
Honduras,72.99375000000000,1421.7880825000000
Hungary,73.82500000000000,8513.641831250000
Iceland,82.44375000000000,30159.502907500000
India,65.41875000000000,837.9200509125000
Indonesia,67.55625,1669.116783075
Iraq,70.26666666666670,3542.5575372500000
Ireland,80.15,33835.272005
Israel,81.3,18860.476015625000
Italy,82.1875,21234.782370625000
Jamaica,74.29375,2509.5464696250000
Japan,82.5375,24892.544784375
Jordan,72.9875,1822.6299256250000
Kazakhstan,66.7625,4040.586664375000
Kenya,57.481250000000000,716.77006788125
Kiribati,65.15000000000000,1175.29241553125
Kuwait,73.84375000000000,31914.378339375000
Latvia,73.73125,7951.824896625000
Lebanon,74.2,4696.1923789375000
Lesotho,48.78125000000000,794.5230103125000
Liberia,57.525,246.28174803125000
Libya,72.40833333333330,4598.161975416670
Lithuania,72.80625000000000,9007.4586225
Luxembourg,80.78125,53257.012740625000
Madagascar,62.74375,314.04132958125000
Malawi,49.893750000000000,237.50404201875
Malaysia,73.75625000000000,4904.9389918125
Maldives,75.5375,3818.2969615625000
Mali,54.9375,530.5121701000000
Malta,80.36250000000000,10114.797943125000
Mauritania,62.8,635.04960900625
Mauritius,72.7125,5299.579823625000
Mexico,75.71875000000000,5179.33080675
Mongolia,65.8875,1984.6880227125000
Montenegro,74.5,4676.5142775000000
Morocco,72.15625000000000,1936.3914383750000
Mozambique,53.393750000000000,365.06823808125
Myanmar,64.2,616.18435734375
Namibia,60.400000000000000,3042.6035070000000
Nepal,66.48125,395.32846794375000
Netherlands,81.13125,34964.719796875
New Zealand,81.33750000000000,14775.554806875000
Nicaragua,73.45,957.9039710625000
Niger,56.98125,259.782440975
Nigeria,51.35625000000000,1360.1398774687500
Norway,81.79375,27434.946928125
Oman,74.84375,7621.311126875000
Pakistan,64.5,666.11105159375
Panama,76.4875,5417.768890250000
Papua New Guinea,61.6,758.0976163466670
Paraguay,73.1125,1983.4043354375000
Peru,73.66250000000000,2928.5435416250000
Philippines,67.57500000000000,1397.1361066875000
Poland,75.65,6792.5636004375
Portugal,79.99375,11598.625531250000
Qatar,77.03125,40748.44410437500
Romania,74.05000000000000,4258.9400543125
Russian Federation,67.76250000000000,6545.137359000000
Rwanda,59.3125,300.01801709375000
Samoa,73.61875,2121.6206485000000
Sao Tome and Principe,65.33333333333330,771.0348342533330
Saudi Arabia,73.46875,10689.052945812500
Senegal,62.56875,274.61116614375000
Serbia,73.95625,3674.5424077625000
Seychelles,72.37500000000000,6496.302397062500
Sierra Leone,46.1125,271.50556128125000
Singapore,81.47500000000000,32790.105906875000
Slovenia,79.73125,11441.044377500000
Solomon Islands,67.7125,801.9123831750000
Somalia,54.5,297.47334513333300
South Africa,57.50000000000000,4869.4270436875000
South Sudan,55.575,1092.233630625
Spain,82.06875,17093.459736875
Sri Lanka,73.4,1040.110189675
Sudan,61.825,1192.7979534312500
Suriname,70.08125,4781.216821937500
Swaziland,51.325000000000000,2165.0908375000000
Sweden,82.51875,29334.990639375
Switzerland,82.33125,57362.874601250000
Syrian Arab Republic,73.16250000000000,1087.435773875
Tajikistan,66.65625,335.84172523125000
Thailand,73.08125,3494.781701625
Timor-Leste,64.75625,551.7106493125000
Togo,56.66250000000000,317.20409206875000
Tonga,72.53125000000000,1981.5551861875000
Trinidad and Tobago,71.06875,7741.748090062500
Tunisia,74.35625000000000,3044.081488375
Turkey,73.9125,3983.9177217500000
Turkmenistan,64.61875000000000,2511.6115398625000
Uganda,55.70625,421.04849634375000
Ukraine,69.9375,1577.293328625
United Arab Emirates,75.7,22110.366986250000
Uruguay,76.075,7192.5848745
